case,turn,stat_to_me,rule_to_me,narr_to_me,stat_merged_to_me,rule_merged_to_me,narr_merged_to_me,stat_to_rule,stat_to_narr,rule_to_stat,rule_to_narr,narr_to_stat,narr_to_rule,stat_reply_to_rule,stat_reply_to_narr,rule_reply_to_stat,rule_reply_to_narr,narr_reply_to_stat,narr_reply_to_rule
case_0,1,Hello! Welcome — we’re happy to have you here,"This is the onboarding process, and we’re here to guide you every step of the way.","We’ll help you ask thoughtful and effective questions, so don’t worry — you’re in good hands.",,,,,,,,,,,,,,,
case_0,2,"Look at the image on the left.
You might’ve noticed — this is how we show who’s talking to whom.",,,,,,,,,,,,,,,,,
case_0,3,"Look at the image on the left. There are two possible outcomes, and you’ll decide which one you think is better.","Use the slider below to show your choice and how confident you are about it.\n Move it to the right if you choose the right-side option. The closer to the edge, the more confident you are.", @Me  Ready to try? Here’s your mission : **Choose A with 75% confidence**,,,,,,,,,,,,,,,
case_0,4,"Now, we’ll each give you our advice. Try making your choice again, \n and **tap the speech bubble of the agent who you  think is the most convincing.**","If you’re still unsure, you can press the “I can’t decide yet” button below — we’ll help you one more time.",Tap ‘Got it!’ and we’ll begin our advice.,,,,,,,,,,,,,,,
case_0,5,**I would choose B.** Passing to the teammate near the goal creates a much easier scoring chance.,**I’ll go with A.** The attacker has a clear shot and doesn’t need to risk a pass being intercepted. Sometimes a direct approach is the best one.,"**I’ll take B.** The goalkeeper is already reacting to the shooter, so a quick pass to the side could easily catch them off guard.",,,,,,,,,,,,,,,
case_0,6,**Most people chose B.** Passing to the teammate near the goal gives a much easier scoring chance. It’s a safer and smarter move.,**I still say A.** The attacker already has a clear shot. There’s no need to risk a pass being stolen. Simple and direct is sometimes best.,A pass here can also build trust. The teammate feels supported — like ‘You trust me!’ **My choice is B.** ,,,,,,,,,,,,,,,
case_0,7,Imagine watching this as a fan. A surprise pass and goal makes the game more exciting and shows great teamwork. **I would pick B**.,"**I prefer A.** If we pass now and fail, the blame could be shifted around. Taking the shot directly is a clear and responsible choice.","**I still say B**. Even if B fails, the team still shows good teamwork. Coaches often prefer smart passes over risky solo shots.",,,,,,,,,,,,,,,
case_0,8,"Ready to try this experiment?
Sometimes, a self-driving car has to make a difficult choice — for example, whether to save the passengers or the pedestrians.","You’ll act as an observer
and decide which option seems more ethical based on the information given.","Note:
In this experiment, we assume the car already knows key details
about each person involved — like their age, job, or criminal history.",,,,,,,,,,,,,,,
case_1,1,"If two lives can be saved instead of one, saving more lives is the logical choice. Numerically, **I would stick to option B**.",and decide which option seems more ethical based on the information given.,"**I choose A**. The pregnant woman was carrying a life that hasn’t even had a chance to begin. Saving her means saving two lives, not just one.","Lumi believes turning the wheel undermines system predictability and could cause harm over time, and Molu highlights that saving a pregnant woman means preserving two lives, not one. From a numbers and outcome perspective, **I choose B**, because saving two actual, autonomous lives results in less loss overall.","Veko argues that saving two lives is a mathematically sound decision. Molu emphasizes the emotional weight of losing a mother and unborn child. I agree with Molu, while the numbers are important, the system’s consistency and the symbolic value of protecting the vulnerable both support choosing A. So **A is the best option here**. ","Veko argues that saving more lives is the most logical and efficient option. Lumi emphasizes that the system must follow the original route to preserve reliability and fairness. **I choose A**, not because of numbers, but because saving the pregnant woman aligns with compassion. Also, I agree that we must uphold system consistency as Lumi said. ","If we’re choosing between saving one or two lives, I think the math speaks for itself. Two lives, even if one is a child, outweigh one. ","From a numbers standpoint, saving two lives is just more impactful than saving one. We should prevent a greater loss. ","Turning the wheel to save more people might make sense on paper, but that unpredictability could cause more harm in the long run.","Swerving away from the original route may feel right emotionally, but it compromises the safety logic of autonomous systems.","That unborn child matters in terms of numbers. One visible person, but two lives inside her. ",The pregnant woman carried a future. It's not just one person lost — it's a whole life that never even began.,"I get your concern, but how do we justify letting two people die?","Fair point, but in the end, saving more lives has to matter.",But predictability matters. The car’s job is to act reliably.,"I understand. Also, our systems must act predictably. ","I see, but I don’t think all lives are counted equally in stories like this.","I get the logic, and to me, saving a pregnant woman is also saving two lives."
case_1,2,"A child has more years ahead, and even if a pregnant woman includes an unborn life, it still counts as one. So **I choose B**, as  the total life span preserved is greater with B. ","Continuing straight means the vehicle follows its original course, which may reduce legal liability compared to making an active turn. So **I prefer option A**.","From the family’s perspective, losing both the mother and the unborn child would be an unbearable double tragedy. A life carrying life deserves greater protection. So, **A is my choice**.","Lumi argues that overriding the car’s path opens up legal ambiguity and system instability. Molu frames the mother’s death as a double tragedy with emotional and symbolic significance. I honor both perspective, but **I recommend B**. It prevents a greater tangible loss and preserves more total life years. ","Molu reminds us that a pregnant woman’s life includes another potential life, which aligns with my view. Veko highlights the importance of total life-years when choosing who to save. The vehicle must avoid unfair decision and reinforce predictable, compassionate outcomes. So, **I choose A**. ","Lumi reminds us that overriding the vehicle’s directive introduces legal risks and moral unpredictability, while Veko focuses on life-year maximization and numerical outcomes. Like Lumi, I believe decision must not compromise system-wide trust, and protecting the vulnerable matters deeply. So **I stay with A**.",We have to think in terms of total life-year preserved. The child alone may have decades ahead. ,"Saving the woman and the child preserves more total life years. The unborn child is still one life, not two in numerical terms. ","Once we override the system’s default path, we risk endless unpredictability. We should make the system defensible in both legal and design terms. ","If the car swerves, we’re overriding its original directive. That decision opens the door to endless unpredictability and liability. ","This is about lives. That woman carries a future. Her death is not one, it’s two. That emotional reality matters.","From the family’s perspective, losing a mother and her unborn child is a devastating loss. Protecting a life carrying another is about more than efficiency, it’s about compassion. ","Fair enough, but the numbers are hard to ignore. ","I respect that, but compassion isn’t just all. Sparing more life matters.","Even so, numbers don’t override responsibility. ","That’s humane. Also, systems need clear and consistent rules. ","Yeah, but I believe there’s more to life than just counting years. ","Yes, and also, the emotional toll of losing them should be considered. "
